,xi,0,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1,0.105,0.11,0.115,0.12,0.125,0.13,0.135,0.14,0.145,0.15,0.155,0.16,0.165,0.17,0.175,0.18,0.185,0.19,0.195,0.2,0.205,0.21,0.215,0.22,0.225,0.23,0.235,0.24,0.245,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.34,0.345,0.35,0.355,0.36,0.365,0.37,0.375,0.38,0.385,0.39,0.395,0.4,0.405,0.41,0.415,0.42,0.425,0.43,0.435,0.44,0.445,0.45,0.455,0.46,0.465,0.47,0.475,0.48,0.485,0.49,0.495,0.5,0.505,0.51,0.515,0.52,0.525,0.53,0.535,0.54,0.545,0.55,0.555,0.56,0.565,0.57,0.575,0.58,0.585,0.59,0.595,0.6,0.605,0.61,0.615,0.62,0.625,0.63,0.635,0.64,0.645,0.65,0.655,0.66,0.665,0.67,0.675,0.68,0.685,0.69,0.695,0.7,0.705,0.71,0.715,0.72,0.725,0.73,0.735,0.74,0.745,0.75,0.755,0.76,0.765,0.77,0.775,0.78,0.785,0.79,0.795,0.8,0.805,0.81,0.815,0.82,0.825,0.83,0.835,0.84,0.845,0.85,0.855,0.86,0.865,0.87,0.875,0.88,0.885,0.89,0.895,0.9,0.905,0.91,0.915,0.92,0.925,0.93,0.935,0.94,0.945,0.95,0.955,0.96,0.965,0.97,0.975,0.98,0.985,0.99,0.995,1
yj,j / i,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,0,0,0.004975,0.0099,0.014775,0.0196,0.024375,0.0291,0.033775,0.0384,0.042975,0.0475,0.051975,0.0564,0.060775,0.0651,0.069375,0.0736,0.077775,0.0819,0.085975,0.09,0.093975,0.0979,0.101775,0.1056,0.109375,0.1131,0.116775,0.1204,0.123975,0.1275,0.130975,0.1344,0.137775,0.1411,0.144375,0.1476,0.150775,0.1539,0.156975,0.16,0.162975,0.1659,0.168775,0.1716,0.174375,0.1771,0.179775,0.1824,0.184975,0.1875,0.189975,0.1924,0.194775,0.1971,0.199375,0.2016,0.203775,0.2059,0.207975,0.21,0.211975,0.2139,0.215775,0.2176,0.219375,0.2211,0.222775,0.2244,0.225975,0.2275,0.228975,0.2304,0.231775,0.2331,0.234375,0.2356,0.236775,0.2379,0.238975,0.24,0.240975,0.2419,0.242775,0.2436,0.244375,0.2451,0.245775,0.2464,0.246975,0.2475,0.247975,0.2484,0.248775,0.2491,0.249375,0.2496,0.249775,0.2499,0.249975,0.25,0.249975,0.2499,0.249775,0.2496,0.249375,0.2491,0.248775,0.2484,0.247975,0.2475,0.246975,0.2464,0.245775,0.2451,0.244375,0.2436,0.242775,0.2419,0.240975,0.24,0.238975,0.2379,0.236775,0.2356,0.234375,0.2331,0.231775,0.2304,0.228975,0.2275,0.225975,0.2244,0.222775,0.2211,0.219375,0.2176,0.215775,0.2139,0.211975,0.21,0.207975,0.2059,0.203775,0.2016,0.199375,0.1971,0.194775,0.1924,0.189975,0.1875,0.184975,0.1824,0.179775,0.1771,0.174375,0.1716,0.168775,0.1659,0.162975,0.16,0.156975,0.1539,0.150775,0.1476,0.144375,0.1411,0.137775,0.1344,0.130975,0.1275,0.123975,0.1204,0.116775,0.1131,0.109375,0.1056,0.101775,0.0979,0.093975,0.09,0.085975,0.0819,0.077775,0.0736,0.069375,0.0651,0.060775,0.0564,0.051975,0.0475,0.042975,0.0384,0.033775,0.0291,0.024375,0.0196,0.014775,0.0099,0.004975,0
0.005,1,0.0157073,0.0203024,0.0248764,0.0294192,0.0339262,0.0383948,0.0428233,0.0472107,0.0515562,0.0558591,0.060119,0.0643353,0.068508,0.0726365,0.0767207,0.0807603,0.0847552,0.0887052,0.0926102,0.0964699,0.100284,0.104053,0.107776,0.111454,0.115086,0.118672,0.122212,0.125705,0.129153,0.132555,0.13591,0.139219,0.142481,0.145697,0.148866,0.151989,0.155065,0.158094,0.161077,0.164013,0.166902,0.169744,0.172538,0.175286,0.177987,0.180641,0.183248,0.185807,0.18832,0.190785,0.193202,0.195573,0.197896,0.200171,0.2024,0.204581,0.206714,0.2088,0.210838,0.212829,0.214772,0.216668,0.218515,0.220316,0.222068,0.223773,0.22543,0.22704,0.228601,0.230115,0.231581,0.232999,0.23437,0.235692,0.236967,0.238194,0.239373,0.240504,0.241587,0.242622,0.243609,0.244548,0.245439,0.246282,0.247077,0.247824,0.248524,0.249175,0.249778,0.250333,0.250839,0.251298,0.251709,0.252072,0.252386,0.252653,0.252871,0.253042,0.253164,0.253238,0.253264,0.253242,0.253172,0.253054,0.252887,0.252673,0.25241,0.2521,0.251741,0.251334,0.250879,0.250376,0.249825,0.249226,0.248578,0.247883,0.24714,0.246348,0.245509,0.244621,0.243685,0.242702,0.24167,0.24059,0.239463,0.238287,0.237063,0.235792,0.234472,0.233105,0.231689,0.230226,0.228715,0.227156,0.225549,0.223894,0.222192,0.220441,0.218643,0.216797,0.214904,0.212962,0.210973,0.208937,0.206852,0.20472,0.202541,0.200314,0.198039,0.195717,0.193347,0.19093,0.188466,0.185954,0.183395,0.180788,0.178134,0.175433,0.172685,0.169889,0.167047,0.164157,0.161221,0.158237,0.155207,0.152129,0.149005,0.145834,0.142616,0.139352,0.136041,0.132684,0.12928,0.12583,0.122333,0.11879,0.115201,0.111566,0.107885,0.104159,0.100386,0.0965679,0.0927042,0.0887952,0.0848409,0.0808415,0.0767973,0.0727084,0.068575,0.0643974,0.0601759,0.0559108,0.0516025,0.0472516,0.0428586,0.0384243,0.03395,0.0294371,0.0248884,0.0203084,0.0157073
0.01,2,0.0314108,0.0356511,0.0398839,0.0440992,0.0482908,0.0524546,0.0565878,0.0606884,0.064755,0.0687863,0.0727814,0.0767395,0.08066,0.0845423,0.0883859,0.0921904,0.0959554,0.0996806,0.103366,0.10701,0.110614,0.114177,0.117698,0.121179,0.124617,0.128014,0.131369,0.134682,0.137953,0.141181,0.144366,0.147509,0.150609,0.153665,0.156679,0.15965,0.162577,0.165461,0.168301,0.171097,0.17385,0.176559,0.179224,0.181845,0.184422,0.186954,0.189443,0.191887,0.194286,0.196641,0.198952,0.201218,0.203439,0.205615,0.207747,0.209834,0.211875,0.213872,0.215824,0.21773,0.219592,0.221408,0.223179,0.224904,0.226584,0.228219,0.229808,0.231352,0.232851,0.234303,0.23571,0.237072,0.238388,0.239658,0.240882,0.24206,0.243193,0.24428,0.245321,0.246316,0.247265,0.248169,0.249026,0.249837,0.250603,0.251322,0.251995,0.252622,0.253203,0.253738,0.254227,0.25467,0.255066,0.255417,0.255721,0.255979,0.256191,0.256357,0.256476,0.25655,0.256577,0.256558,0.256492,0.256381,0.256223,0.256019,0.255769,0.255473,0.25513,0.254741,0.254306,0.253825,0.253298,0.252725,0.252105,0.251439,0.250727,0.249969,0.249165,0.248315,0.247419,0.246476,0.245488,0.244454,0.243373,0.242247,0.241075,0.239857,0.238593,0.237283,0.235927,0.234525,0.233078,0.231585,0.230046,0.228461,0.226831,0.225156,0.223434,0.221667,0.219855,0.217998,0.216094,0.214146,0.212152,0.210113,0.208029,0.2059,0.203726,0.201506,0.199242,0.196933,0.194579,0.19218,0.189736,0.187248,0.184716,0.182138,0.179517,0.176851,0.174141,0.171387,0.168589,0.165746,0.16286,0.15993,0.156957,0.15394,0.15088,0.147776,0.144629,0.141439,0.138206,0.134931,0.131612,0.128252,0.124849,0.121404,0.117917,0.114388,0.110818,0.107206,0.103554,0.0998606,0.0961268,0.092353,0.0885393,0.0846863,0.0807943,0.0768638,0.0728954,0.0688898,0.0648478,0.0607702,0.0566584,0.0525138,0.0483384,0.0441351,0.0399079,0.0356631,0.0314108
0.015,3,0.0471065,0.0510071,0.0549088,0.058803,0.0626832,0.066545,0.0703849,0.0742002,0.077989,0.0817496,0.0854808,0.0891813,0.0928502,0.0964868,0.10009,0.10366,0.107195,0.110696,0.114161,0.117591,0.120985,0.124342,0.127662,0.130945,0.134191,0.137399,0.140569,0.143701,0.146794,0.149849,0.152865,0.155842,0.158779,0.161677,0.164535,0.167354,0.170132,0.17287,0.175568,0.178226,0.180842,0.183418,0.185953,0.188447,0.1909,0.193312,0.195682,0.198011,0.200298,0.202543,0.204746,0.206908,0.209027,0.211104,0.213139,0.215132,0.217082,0.218989,0.220854,0.222677,0.224456,0.226193,0.227887,0.229538,0.231146,0.23271,0.234232,0.23571,0.237145,0.238537,0.239885,0.24119,0.242451,0.243669,0.244843,0.245973,0.24706,0.248102,0.249102,0.250057,0.250968,0.251836,0.252659,0.253438,0.254174,0.254865,0.255513,0.256116,0.256675,0.25719,0.257661,0.258087,0.25847,0.258808,0.259102,0.259351,0.259557,0.259718,0.259835,0.259907,0.259935,0.259919,0.259859,0.259754,0.259605,0.259411,0.259174,0.258892,0.258565,0.258195,0.25778,0.257321,0.256817,0.25627,0.255678,0.255041,0.254361,0.253637,0.252868,0.252055,0.251198,0.250297,0.249352,0.248363,0.24733,0.246253,0.245132,0.243967,0.242759,0.241506,0.24021,0.23887,0.237486,0.236059,0.234588,0.233074,0.231516,0.229915,0.228271,0.226583,0.224852,0.223078,0.221261,0.219401,0.217497,0.215551,0.213563,0.211531,0.209457,0.20734,0.205181,0.20298,0.200736,0.198451,0.196123,0.193753,0.191341,0.188888,0.186393,0.183857,0.181279,0.17866,0.176,0.173299,0.170558,0.167775,0.164952,0.162089,0.159186,0.156243,0.15326,0.150237,0.147175,0.144074,0.140934,0.137755,0.134538,0.131283,0.12799,0.124659,0.121291,0.117886,0.114444,0.110966,0.107453,0.103904,0.100321,0.0967031,0.0930519,0.089368,0.0856521,0.0819052,0.0781284,0.0743232,0.070491,0.066634,0.0627548,0.0588569,0.054945,0.0510253,0.0471065
0.02,4,0.0627905,0.0663622,0.0699413,0.0735206,0.0770941,0.0806573,0.0842065,0.0877385,0.0912512,0.0947425,0.0982108,0.101655,0.105073,0.108464,0.111828,0.115164,0.11847,0.121747,0.124993,0.128208,0.131392,0.134543,0.137663,0.140749,0.143802,0.146822,0.149807,0.152758,0.155675,0.158556,0.161403,0.164214,0.166989,0.169728,0.172431,0.175098,0.177728,0.18032,0.182876,0.185395,0.187876,0.190319,0.192724,0.195091,0.19742,0.199711,0.201963,0.204176,0.206351,0.208486,0.210582,0.212639,0.214657,0.216635,0.218573,0.220472,0.222331,0.224149,0.225928,0.227666,0.229364,0.231021,0.232638,0.234215,0.23575,0.237245,0.238699,0.240112,0.241483,0.242814,0.244103,0.245351,0.246558,0.247723,0.248847,0.249929,0.25097,0.251969,0.252926,0.253841,0.254715,0.255546,0.256336,0.257084,0.257789,0.258453,0.259074,0.259654,0.260191,0.260686,0.261139,0.261549,0.261917,0.262243,0.262527,0.262768,0.262967,0.263123,0.263237,0.263309,0.263338,0.263325,0.263269,0.263171,0.263031,0.262848,0.262623,0.262355,0.262045,0.261692,0.261298,0.26086,0.260381,0.259859,0.259294,0.258688,0.258039,0.257348,0.256615,0.255839,0.255022,0.254162,0.25326,0.252316,0.251331,0.250303,0.249233,0.248122,0.246968,0.245773,0.244537,0.243258,0.241939,0.240577,0.239174,0.23773,0.236245,0.234718,0.233151,0.231542,0.229892,0.228202,0.22647,0.224698,0.222885,0.221032,0.219139,0.217205,0.215231,0.213217,0.211163,0.20907,0.206936,0.204763,0.202551,0.2003,0.198009,0.195679,0.193311,0.190904,0.188458,0.185975,0.183453,0.180893,0.178295,0.17566,0.172988,0.170279,0.167532,0.164749,0.16193,0.159075,0.156183,0.153257,0.150294,0.147297,0.144266,0.1412,0.1381,0.134967,0.131801,0.128602,0.125371,0.122108,0.118814,0.11549,0.112136,0.108753,0.105342,0.101904,0.0984397,0.0949504,0.0914376,0.0879029,0.0843483,0.0807764,0.0771899,0.0735928,0.0699897,0.0663865,0.0627905
0.025,5,0.0784591,0.08171,0.0849736,0.0882439,0.0915154,0.0947837,0.0980451,0.101296,0.104535,0.107758,0.110965,0.114154,0.117322,0.12047,0.123595,0.126697,0.129775,0.132828,0.135855,0.138857,0.141831,0.144777,0.147696,0.150586,0.153447,0.156278,0.159079,0.16185,0.16459,0.167299,0.169976,0.172622,0.175235,0.177816,0.180364,0.182879,0.18536,0.187808,0.190221,0.192601,0.194946,0.197257,0.199533,0.201773,0.203979,0.206148,0.208282,0.210381,0.212443,0.214469,0.216458,0.218411,0.220327,0.222206,0.224048,0.225852,0.22762,0.229349,0.231042,0.232696,0.234312,0.23589,0.23743,0.238932,0.240396,0.24182,0.243207,0.244554,0.245863,0.247132,0.248363,0.249554,0.250706,0.251819,0.252893,0.253927,0.254922,0.255877,0.256792,0.257667,0.258503,0.259299,0.260055,0.260771,0.261447,0.262082,0.262678,0.263234,0.263749,0.264224,0.264659,0.265053,0.265407,0.265721,0.265994,0.266227,0.266419,0.266571,0.266682,0.266753,0.266783,0.266773,0.266722,0.266631,0.266499,0.266327,0.266114,0.265861,0.265567,0.265232,0.264858,0.264442,0.263986,0.26349,0.262954,0.262377,0.261759,0.261102,0.260404,0.259666,0.258887,0.258069,0.25721,0.256312,0.255373,0.254395,0.253376,0.252318,0.25122,0.250082,0.248905,0.247688,0.246432,0.245137,0.243802,0.242428,0.241015,0.239562,0.238071,0.236542,0.234973,0.233366,0.23172,0.230036,0.228314,0.226554,0.224755,0.222919,0.221045,0.219134,0.217185,0.215199,0.213176,0.211116,0.209019,0.206885,0.204715,0.202509,0.200267,0.197989,0.195676,0.193327,0.190943,0.188524,0.186071,0.183583,0.181061,0.178505,0.175915,0.173292,0.170636,0.167948,0.165227,0.162474,0.15969,0.156874,0.154028,0.151151,0.148244,0.145308,0.142343,0.13935,0.136329,0.13328,0.130206,0.127106,0.123981,0.120832,0.11766,0.114466,0.111252,0.108019,0.104769,0.101502,0.098223,0.0949331,0.0916356,0.0883345,0.0850344,0.0817405,0.0784591
0.03,6,0.0941083,0.097045,0.0999994,0.102966,0.10594,0.108917,0.111894,0.114867,0.117833,0.120791,0.123738,0.126672,0.129592,0.132497,0.135384,0.138254,0.141104,0.143935,0.146744,0.149532,0.152297,0.15504,0.157758,0.160452,0.163121,0.165765,0.168382,0.170973,0.173537,0.176073,0.178582,0.181062,0.183514,0.185936,0.188329,0.190693,0.193026,0.195329,0.197601,0.199842,0.202052,0.20423,0.206376,0.208491,0.210572,0.212622,0.214638,0.216621,0.218571,0.220487,0.22237,0.224219,0.226033,0.227813,0.229559,0.23127,0.232946,0.234587,0.236193,0.237763,0.239298,0.240797,0.242261,0.243688,0.245079,0.246434,0.247753,0.249035,0.250281,0.251489,0.252661,0.253796,0.254894,0.255955,0.256978,0.257964,0.258913,0.259824,0.260698,0.261533,0.262331,0.263091,0.263814,0.264498,0.265144,0.265752,0.266322,0.266854,0.267347,0.267802,0.268219,0.268597,0.268937,0.269239,0.269502,0.269726,0.269912,0.270059,0.270168,0.270238,0.270269,0.270262,0.270216,0.270131,0.270008,0.269846,0.269646,0.269407,0.269129,0.268813,0.268458,0.268064,0.267632,0.267162,0.266653,0.266105,0.26552,0.264895,0.264233,0.263532,0.262793,0.262016,0.2612,0.260347,0.259455,0.258526,0.257559,0.256554,0.255511,0.254431,0.253313,0.252158,0.250965,0.249735,0.248468,0.247164,0.245823,0.244445,0.243031,0.24158,0.240092,0.238568,0.237008,0.235412,0.23378,0.232113,0.230409,0.228671,0.226897,0.225088,0.223244,0.221365,0.219452,0.217504,0.215523,0.213507,0.211458,0.209375,0.207259,0.20511,0.202929,0.200715,0.198469,0.19619,0.193881,0.191539,0.189167,0.186764,0.184331,0.181868,0.179375,0.176853,0.174302,0.171723,0.169116,0.166481,0.16382,0.161131,0.158417,0.155678,0.152914,0.150125,0.147313,0.144479,0.141623,0.138746,0.135849,0.132933,0.129999,0.127049,0.124084,0.121105,0.118115,0.115115,0.112108,0.109097,0.106085,0.103075,0.100073,0.0970818,0.0941083
0.035,7,0.109734,0.112362,0.115013,0.117681,0.120361,0.123051,0.125746,0.128444,0.131141,0.133835,0.136524,0.139205,0.141878,0.144541,0.147192,0.14983,0.152454,0.155062,0.157655,0.16023,0.162787,0.165326,0.167845,0.170343,0.172821,0.175277,0.177711,0.180123,0.182511,0.184875,0.187215,0.189531,0.191821,0.194086,0.196325,0.198537,0.200722,0.202881,0.205011,0.207114,0.209189,0.211235,0.213252,0.21524,0.217199,0.219128,0.221026,0.222895,0.224733,0.22654,0.228316,0.230061,0.231774,0.233456,0.235105,0.236723,0.238308,0.23986,0.24138,0.242866,0.24432,0.24574,0.247127,0.24848,0.249799,0.251085,0.252336,0.253553,0.254736,0.255884,0.256997,0.258075,0.259119,0.260128,0.261101,0.262039,0.262942,0.263809,0.264641,0.265437,0.266197,0.266922,0.267611,0.268263,0.26888,0.26946,0.270004,0.270512,0.270984,0.271419,0.271818,0.27218,0.272506,0.272795,0.273048,0.273264,0.273443,0.273586,0.273692,0.273761,0.273793,0.273789,0.273748,0.27367,0.273556,0.273405,0.273216,0.272992,0.27273,0.272432,0.272097,0.271725,0.271317,0.270872,0.270391,0.269873,0.269318,0.268727,0.2681,0.267436,0.266737,0.266,0.265228,0.26442,0.263576,0.262695,0.261779,0.260827,0.25984,0.258817,0.257758,0.256664,0.255535,0.254371,0.253172,0.251937,0.250669,0.249365,0.248027,0.246654,0.245248,0.243807,0.242333,0.240824,0.239282,0.237707,0.236099,0.234457,0.232783,0.231076,0.229337,0.227566,0.225762,0.223927,0.22206,0.220163,0.218234,0.216274,0.214284,0.212264,0.210214,0.208134,0.206026,0.203888,0.201721,0.199527,0.197304,0.195054,0.192777,0.190473,0.188143,0.185787,0.183406,0.181,0.17857,0.176115,0.173638,0.171138,0.168616,0.166072,0.163508,0.160924,0.158321,0.155699,0.153061,0.150406,0.147736,0.145051,0.142355,0.139646,0.136928,0.134202,0.13147,0.128735,0.125998,0.123262,0.120531,0.117809,0.115099,0.112406,0.109734
